year,region,site,rep,microsite,D1,D2,H,S.barbatus,B.rubens,E.cicutarium,B.hordeaceus,P.secunda,D.kelloggii,P.ovata,C.barbigera,L.gracilis,C.exserta,A.wrangelianus,D.capitatum,Pectocarya spp.,E.penduliflora,A.tessellata,A.adscensionis,C.fremontii,E.minutiflora,P.membranaceum,L.lasiocarpa,M.glabrata,R.neomexicana,E.eremicum,C.rigida,P.crenulata,E.wallacei,C.brevipes,C.claviformis,Erinoginum spp.,M.bellioides,E.exilis,C.lasiophyllus,L.setosissima,A.tuberosa,B.nigria,N.demissum,A.lentiginosus,A.grandiflora,H.vulgare,C.intermedia
2017,Mojave,2.3,23,open,,,,5,,,10,,,,1,,,,,12,,,,,,,9,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,24,open,,,,,,,,,,2,,,,,,17,,,,,,,15,,,,,,,,,,,,,,1,,,,,,
2017,Mojave,2.3,25,open,,,,5,2,,,,,,1,,,,,9,,,,,,,10,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,26,open,,,,,,,,,,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,27,open,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,28,open,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,29,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.3,30,open,,,,12,5,,,,,,,,,,,25,,,,,,,,,,,3,,,,,,,,,,,,,,,,
2017,Mojave,2.4,1,open,,,,,2,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,2,open,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,
2017,Mojave,2.4,3,open,,,,3,4,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,4,open,,,,3,2,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.4,5,open,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,6,open,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,
2017,Mojave,2.4,7,open,,,,11,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,3
2017,Mojave,2.4,8,open,,,,,,1,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,9,open,,,,2,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,10,open,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,4,,,,,
2017,Mojave,2.4,11,open,,,,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.4,12,open,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,3,,,,
2017,Mojave,2.4,13,open,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,3,,,,
2017,Mojave,2.4,14,open,,,,11,,,,,,,,,,,,25,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,15,open,,,,6,,6,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2017,Mojave,2.4,16,open,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
2017,Mojave,2.4,17,open,,,,26,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,18,open,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,
2017,Mojave,2.4,19,open,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
2017,Mojave,2.4,20,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,11,,,,,,,,,,,,,,
2017,Mojave,2.4,21,open,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
2017,Mojave,2.4,22,open,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,17,,,1,,,,,,,,,,,
2017,Mojave,2.4,23,open,,,,17,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,
2017,Mojave,2.4,24,open,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2017,Mojave,2.4,25,open,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
2017,Mojave,2.4,26,open,,,,3,1,,,,,,,,,,,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,
2017,Mojave,2.4,27,open,,,,9,,,,,,,,,,,,12,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2017,Mojave,2.4,28,open,,,,12,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,29,open,,,,11,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.4,30,open,,,,8,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,1,open,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,2,open,,,,,6,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,
2017,Mojave,2.5,3,open,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2017,Mojave,2.5,4,open,,,,,11,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
2017,Mojave,2.5,5,open,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,6,open,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,7,open,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,8,open,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.5,9,open,,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,10,open,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.5,11,open,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,12,open,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,13,open,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,14,open,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,15,open,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,16,open,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,17,open,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,18,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.5,19,open,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,20,open,,,,,11,5,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3
2017,Mojave,2.5,21,open,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.5,22,open,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.5,23,open,,,,,10,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,24,open,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,25,open,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,26,open,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.5,27,open,,,,,14,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,
2017,Mojave,2.5,28,open,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,29,open,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.5,30,open,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,1,shrub,1.68,1.62,1.51,4,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,2,shrub,1.51,1.67,1.29,16,,,,,,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,3,shrub,1.08,1.25,1.55,8,,,,,,9,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,4,shrub,1.42,1.72,1.32,11,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,5,shrub,1.64,1.95,1.49,22,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,6,shrub,2.18,2.12,1.4,8,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,7,shrub,1.55,1.51,1.37,28,,,,,,8,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,8,shrub,1.81,1.59,1.69,7,,,,,,5,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,9,shrub,1.32,1.37,0.75,16,,,,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,10,shrub,1.48,1.42,1.37,16,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,11,shrub,1.58,1.81,1.1,15,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,12,shrub,1.72,1.18,1.38,14,,,,,,24,1,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,13,shrub,1.39,0.92,0.94,17,,,,,,9,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,14,shrub,1.77,1.49,1.59,9,,,,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,15,shrub,2.14,2.41,1.35,15,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,16,shrub,1.03,0.94,1.05,21,,,,,,9,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,17,shrub,1.78,1.51,1.4,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,18,shrub,0.79,0.65,0.63,15,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,19,shrub,0.98,0.96,0.97,10,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,20,shrub,2.98,2.85,1.53,11,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,21,shrub,1.48,1.36,1.25,14,,,,,,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,22,shrub,1.37,1.71,1.09,18,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,23,shrub,1.04,0.69,0.55,11,,,,,,8,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,24,shrub,1.11,0.72,0.5,11,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,25,shrub,0.86,0.89,0.83,4,,,,,,5,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
